House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,Outdoor_User
12S223,46360,722.2600000000026,983.4499999999982,0,1,1,0,0,0
12S224,52660,984.6000000000004,1047.8699999999997,0,1,1,1,0,0
12S225,26410,937.5399999999992,511.9200000000008,0,0,0,1,0,0
12S226,31630,762.9999999999994,666.0800000000003,0,0,0,1,0,0
12S230,43100,1296.699999999997,802.8600000000012,0,1,1,1,15,1
12S231,69090,832.5399999999997,1163.1599999999999,0,1,1,1,10,1
12S232,59470,964.190000000002,677.2899999999964,0,0,1,1,5,1
12S233,14470,290.67000000000024,280.72000000000014,0,0,0,0,0,0
12S234,35470,669.87,784.7500000000002,0,1,0,0,14,1
12S235,37280,739.8499999999983,665.1999999999996,0,0,1,1,19,1
12S236,28290,292.4199999999995,448.7900000000003,0,0,0,0,1,1
12S237,18670,513.7899999999998,442.6699999999998,0,0,0,0,2,1
12S239,10940,541.6399999999999,254.92999999999998,0,0,0,0,1,1
12S240,25320,709.8500000000021,523.8099999999994,0,0,0,0,19,1
12S243,20080,471.96999999999963,395.0299999999996,0,0,0,0,17,1
