House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,City,Region,Outdoor_User
381,36970,1242.07,803.36,0,1,1,1,236,Scottsdale,Southwest,1
382,26230,743.7,538.56,0,0,0,1,29,Scottsdale,Southwest,1
383,180,15.9,3.01,0,0,0,0,33,Scottsdale,Southwest,1
384,25630,731.05,494.02,0,0,0,1,26,Scottsdale,Southwest,1
385,39060,1156.48,749.54,0,1,1,1,40,Scottsdale,Southwest,1
387,48790,1163.72,1041.98,0,1,1,1,25,Scottsdale,Southwest,1
388,13430,217.58,374.56,0,0,0,0,6,Scottsdale,Southwest,1
389,39060,448.87,573.43,0,0,1,0,34,Scottsdale,Southwest,1
390,2980,108.85,63.92,0,0,0,0,38,Scottsdale,Southwest,1
392,37990,698.03,1050.57,0,1,1,0,27,Scottsdale,Southwest,1
393,38100,1599.89,875.72,0,1,1,1,29,Scottsdale,Southwest,1
394,18050,379.97,560.38,0,0,0,0,3529,Scottsdale,Southwest,1
395,32250,915.88,1007.25,0,1,0,1,48,Scottsdale,Southwest,1
397,27930,500.95,623.54,0,0,0,0,15,Scottsdale,Southwest,1
398,58980,1664.83,801.76,0,1,1,1,62,Scottsdale,Southwest,1
399,22770,468.09,320.44,0,0,0,0,61,Scottsdale,Southwest,1
400,39080,1015.11,1005.31,0,1,1,1,16,Scottsdale,Southwest,1
404,230,2.27,3.46,0,0,0,0,6,Scottsdale,Southwest,1
405,41630,962.58,785.44,0,1,1,1,7,Scottsdale,Southwest,1
406,12820,378.28,276.89,0,0,0,0,23,Scottsdale,Southwest,1
407,21750,412.79,481.83,0,0,0,0,41,Scottsdale,Southwest,1
410,55140,2007.46,1390.24,0,1,1,1,48,Scottsdale,Southwest,1
411,20920,467.23,653,0,0,0,0,23,Scottsdale,Southwest,1
412,54220,1429.85,1263.22,0,1,1,1,31,Scottsdale,Southwest,1
413,27290,367.99,495.75,0,0,0,0,17,Scottsdale,Southwest,1
415,62320,1151.05,909.1,0,1,1,1,19,Scottsdale,Southwest,1
416,61540,1312.67,1487.76,0,1,1,1,14,Scottsdale,Southwest,1
417,32810,706.85,560.42,0,0,0,0,6,Scottsdale,Southwest,1
422,52640,1267.49,1339.09,0,1,1,1,36,Scottsdale,Southwest,1
425,48020,777.45,1075.6,0,1,1,1,54,Scottsdale,Southwest,1
428,58210,1275.94,1272.57,0,1,1,1,22,Scottsdale,Southwest,1
429,64770,1481.88,1447.91,0,1,1,1,26,Scottsdale,Southwest,1
431,25730,356.21,584.2,0,0,0,0,223,Scottsdale,Southwest,1
432,600,25.46,22.87,0,0,0,0,38,Scottsdale,Southwest,1
433,27990,767.68,595.13,0,0,0,1,25,Scottsdale,Southwest,1
436,31890,625.92,613.62,0,0,0,0,17,Scottsdale,Southwest,1
440,33750,657.15,1080.54,0,1,0,0,17,Scottsdale,Southwest,1
442,34480,508.3,619.65,0,0,0,0,47,Scottsdale,Southwest,1
443,1390,52.79,26.36,0,0,0,0,30,Scottsdale,Southwest,1
444,64490,1322.48,1678.73,0,1,1,1,465,Scottsdale,Southwest,1
445,35500,512.19,887.12,0,1,0,0,7,Scottsdale,Southwest,1
446,18140,215.21,451.92,0,0,0,0,5,Scottsdale,Southwest,1
447,32800,735.77,895.65,0,1,0,1,81,Scottsdale,Southwest,1
448,18640,466.41,337.22,0,0,0,0,5,Scottsdale,Southwest,1
449,23650,670.43,322.9,0,0,0,0,20,Scottsdale,Southwest,1
450,78320,1803.34,1282.58,0,1,1,1,7,Scottsdale,Southwest,1
451,8890,145.15,136.11,0,0,0,0,14,Scottsdale,Southwest,1
452,19710,453.12,337.87,0,0,0,0,22,Scottsdale,Southwest,1
453,10080,364.57,123.33,0,0,0,0,57,Scottsdale,Southwest,1
454,43000,1358.75,782.8,0,1,1,1,30,Scottsdale,Southwest,1
455,3200,168.15,79.03,0,0,0,0,7,Scottsdale,Southwest,1
456,46770,598.63,781.96,0,1,1,0,12,Scottsdale,Southwest,1
457,15860,365.75,234.27,0,0,0,0,46,Scottsdale,Southwest,1
458,24630,598.78,398.17,0,0,0,0,26,Scottsdale,Southwest,1
459,21730,371.64,297.87,0,0,0,0,16,Scottsdale,Southwest,1
460,48490,920.58,1050.88,0,1,1,1,24,Scottsdale,Southwest,1
461,30040,1099.94,714.29,0,1,0,1,15,Scottsdale,Southwest,1
462,25730,560.45,450.17,0,0,0,0,19,Scottsdale,Southwest,1
463,35400,1081.36,715.57,0,1,0,1,1892,Scottsdale,Southwest,1
464,68270,1619.05,1388.83,0,1,1,1,61,Scottsdale,Southwest,1
465,18500,611.5,636.11,0,0,0,0,21,Scottsdale,Southwest,1
466,60940,957.4,1361.45,0,1,1,1,39,Scottsdale,Southwest,1
467,31140,1020.74,608.65,0,0,0,1,22,Scottsdale,Southwest,1
468,40970,651.91,300.73,0,0,1,0,12,Scottsdale,Southwest,1
469,36430,680.57,990.74,0,1,1,0,62,Scottsdale,Southwest,1
470,61770,1069.61,1677.3,0,1,1,1,30,Scottsdale,Southwest,1
471,22130,217.89,165.51,0,0,0,0,14,Scottsdale,Southwest,1
472,27790,498.75,703.25,0,1,0,0,62,Scottsdale,Southwest,1
474,92110,1862.47,936.65,0,1,1,1,40,Scottsdale,Southwest,1
475,36040,883.82,315.68,0,0,0,1,25,Scottsdale,Southwest,1
476,20620,494.2,428.88,0,0,0,0,19,Scottsdale,Southwest,1
477,9950,202.43,335.99,0,0,0,0,1,Scottsdale,Southwest,1
478,7640,228.22,173.99,0,0,0,0,5,Scottsdale,Southwest,1
479,22460,309.14,192.87,0,0,0,0,28,Scottsdale,Southwest,1
480,105740,1446.9,1841.71,0,1,1,1,78,Scottsdale,Southwest,1
481,38110,773.08,523.03,0,0,1,1,31,Scottsdale,Southwest,1
482,21630,287.38,517.01,0,0,0,0,0,Scottsdale,Southwest,0
483,48940,886.21,1975.47,0,1,1,1,34,Scottsdale,Southwest,1
484,82820,1464.35,1785.11,0,1,1,1,17,Scottsdale,Southwest,1
485,13420,448.24,268.91,0,0,0,0,9,Scottsdale,Southwest,1
486,27700,487.52,500.12,0,0,0,0,20,Scottsdale,Southwest,1
487,22200,293.24,724.71,0,1,0,0,0,Scottsdale,Southwest,0
488,29980,581.04,712.76,0,1,0,0,17,Scottsdale,Southwest,1
489,4260,44.24,178.11,0,0,0,0,6,Scottsdale,Southwest,1
500,9660,198.51,125.77,0,0,0,0,1,San Antonio,Southwest,1
501,11930,133.79,134.86,0,0,0,0,0,San Antonio,Southwest,0
502,30120,524.47,638.35,0,0,0,0,1,San Antonio,Southwest,1
504,12950,267.38,147.12,0,0,0,0,1,San Antonio,Southwest,1
505,21240,489.87,352.82,0,0,0,0,2,San Antonio,Southwest,1
506,15290,215.44,245.9,0,0,0,0,0,San Antonio,Southwest,0
507,47790,918.62,798.26,0,1,1,1,16,San Antonio,Southwest,1
508,27600,475.12,396.87,0,0,0,0,8,San Antonio,Southwest,1
509,29650,593.49,743.45,0,1,0,0,3,San Antonio,Southwest,1
512,39690,445.16,976.84,0,1,1,0,4,San Antonio,Southwest,1
513,22490,516.41,513.89,0,0,0,0,0,San Antonio,Southwest,0
514,66910,705.63,1208.52,0,1,1,0,5,San Antonio,Southwest,1
515,17940,362.37,351.06,0,0,0,0,8,San Antonio,Southwest,1
517,32060,870.38,455.58,0,0,0,1,0,San Antonio,Southwest,0
518,21970,826.69,394.59,0,0,0,1,0,San Antonio,Southwest,0
519,10450,242.06,282.75,0,0,0,0,13,San Antonio,Southwest,1
520,18850,169.09,89.8,0,0,0,0,0,San Antonio,Southwest,0
521,30470,1052.56,628.65,0,0,0,1,7,San Antonio,Southwest,1
522,69240,513.68,719.28,0,1,1,0,17,San Antonio,Southwest,1
523,45810,775.26,1024.98,0,1,1,1,5,San Antonio,Southwest,1
524,40330,933.73,1301.33,0,1,1,1,6,San Antonio,Southwest,1
525,45440,567.97,560.89,0,0,1,0,10,San Antonio,Southwest,1
527,45410,1106.78,654.25,0,0,1,1,75,San Antonio,Southwest,1
528,19690,189.25,392.39,0,0,0,0,4,San Antonio,Southwest,1
529,72590,966.9,1747,0,1,1,1,2,San Antonio,Southwest,1
530,44410,925.39,876.25,0,1,1,1,14,San Antonio,Southwest,1
531,58350,862.46,1394.53,0,1,1,1,5,San Antonio,Southwest,1
533,21470,495.55,395.52,0,0,0,0,10,San Antonio,Southwest,1
534,47430,1443.7,1220.87,0,1,1,1,19,San Antonio,Southwest,1
535,17080,294.07,170.33,0,0,0,0,6,San Antonio,Southwest,1
536,22020,194.66,452.61,0,0,0,0,4,San Antonio,Southwest,1
537,54350,890.79,1171.12,0,1,1,1,4,San Antonio,Southwest,1
538,46980,993.19,811.4,0,1,1,1,23,San Antonio,Southwest,1
539,61270,769,668.08,0,0,1,1,9,San Antonio,Southwest,1
540,20930,281.3,389.19,0,0,0,0,0,San Antonio,Southwest,0
541,25890,375.89,442.11,0,0,0,0,7,San Antonio,Southwest,1
542,31130,664.37,986.88,0,1,0,0,0,San Antonio,Southwest,0
543,24820,462.11,397.51,0,0,0,0,8,San Antonio,Southwest,1
544,3460,86.06,43.27,0,0,0,0,2,San Antonio,Southwest,1
545,37420,600.37,869.81,0,1,1,0,21,San Antonio,Southwest,1
546,25730,548.69,510.16,0,0,0,0,2,San Antonio,Southwest,1
